Country Name,Country Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Côte d'Ivoire,CIV,1880,1840,1810,1750,1860,2060,2110,2150,2280,2340,2460,2250,2490,2650,4180,4480,4590,4690,4920,5200,5220,5680,6340
Cameroun,CMR,1970,2030,2110,2260,2450,2500,2640,2730,2800,2840,2860,2930,2980,3140,3340,3390,3500,3620,3750,3830,3790,4000,4330
Congo, République démocratique du,COD,420,400,410,430,460,480,510,540,550,560,590,620,620,670,750,810,910,990,1030,1040,1070,1140,1290
Congo, République du,COG,2700,2750,2910,2970,2840,3270,3910,3580,3920,4450,4790,4680,5740,5680,5600,4680,4090,4920,4480,4700,3980,3920,4050
Colombie,COL,6610,6740,6900,7150,7610,8200,8890,9590,9940,10050,10450,11200,11630,12360,13010,13200,13820,14090,14790,15530,14940,16810,19470
Comores,COM,1820,1870,1890,1930,1980,2060,2140,2180,2260,2300,2370,2460,2650,2800,2900,2900,3070,3260,3390,3450,3420,3580,3850
Cabo Verde,CPV,3020,3150,3280,3450,3840,4130,4520,5370,5760,5660,5670,5970,5810,5830,5720,6030,6470,6910,7330,7920,6280,6910,8600
Costa Rica,CRI,7440,7730,7980,8350,8860,9410,10350,11380,12060,11710,12340,12970,13740,14320,15260,16210,18110,19110,20010,21260,20430,21270,23370
Petits états des Caraïbes,CSS,9047.89964482328,9370.28650254241,9839.04521410263,10581.576568043,11388.4716157358,12021.2936958778,13207.6163356025,14057.329890196,14512.8601852898,13946.1106897461,14303.6784138681,14266.4310313461,14834.6697401352,15192.5430070645,15366.439520202,15385.3297059968,15017.6773212394,15756.4539358331,16013.9218097369,16440.9146898432,15097.6189657025,16831.6135870503,20135.6314579703
Cuba,CUB,,,,,,,,,,,,,,,,,,,,,,,
Curacao,CUW,,,,,,24480,25050,25860,26030,25510,25860,25940,24680,24300,24060,24000,23580,24510,24840,25020,21170,23410,
Îles Caïmans,CYM,,,,,,,,,,,62790,64500,44080,38610,37170,38610,42330,46580,50790,55960,48660,52990,
Chypre,CYP,19460,21230,22340,23290,24490,26320,28350,30780,34260,33790,33030,34280,31700,30050,29350,31710,34460,37250,39190,41660,38830,42060,47470
République tchèque,CZE,15920,17130,17600,18880,19940,21070,22430,24590,26270,25850,25790,26660,27370,28860,30270,31570,33660,36630,38890,41540,40690,43770,46890
Allemagne,DEU,27050,28170,28870,29610,31520,32060,34740,36820,38160,37650,39730,43630,44400,46040,47950,48690,51830,54340,57060,59560,58070,61330,65990
Djibouti,DJI,,,,,,,,,,,,,,3750,3980,4270,4320,4440,4670,5010,5060,5500,6010
Dominique,DMA,5850,6300,6140,6670,6960,7300,8220,8900,9780,9850,10130,10300,10040,10060,10830,10930,11710,11550,12150,12700,10990,12050,13500
Danemark,DNK,28010,29010,30260,30550,32980,34430,37780,39210,41740,40730,43700,45340,45820,48210,49640,50550,53250,56570,59080,61650,62760,68700,77370
République dominicaine,DOM,6420,6620,6930,6710,6860,7860,8780,9540,10050,10090,10910,11300,11320,11760,12680,13960,15230,15740,17130,18080,16850,19530,21920
Algérie,DZA,8090,8580,8990,9710,10200,10910,11400,12220,12610,12640,13100,13410,13180,12850,12760,11760,11570,11630,11710,11820,11220,11950,12950
Asie de l’Est et Pacifique (hors revenu élevé),EAP,3244.01354709395,3511.16808484192,3817.71866556526,4193.14359113215,4647.75245758028,5187.99739823446,5888.66175409639,6730.45174758866,7391.49588631233,7893.69588104794,8675.64719179836,9487.66110846813,10304.5753663142,10832.4644072253,11411.5722513436,11677.5080861793,12195.4335220145,12895.2881550517,13931.9632873824,14928.1113986096,15109.7156790646,16822.7285977659,18577.4480978525
de dividende précoce démographique,EAR,4097.73774907906,4216.40384552118,4296.18910882756,4535.95673326178,4868.99465247097,5239.4878117265,5694.49136339897,6136.22604625291,6425.33172143624,6514.35335479445,6906.85157659744,7309.62676616757,7672.55099623628,7890.97973428237,8112.27548701993,8218.63146317315,8522.20334245201,8933.31912534935,9371.15142060763,9638.36998360474,9244.25240259854,10123.229850219,11435.870398805
Asie de l’Est et Pacifique,EAS,5730.73910219288,6046.20783751637,6424.29729312686,6854.55755093608,7442.40559398949,8078.29311137301,8909.23828966554,9870.8980048811,10508.6119462951,10847.5926934112,11770.6681845854,12633.7066798227,13486.615320028,14140.5156988771,14727.3673934375,15098.2535227977,15587.4361911247,16335.7235350966,17393.4551821879,18356.7746791331,18511.5633438441,20330.7012755461,22324.2022983512
Europe et Asie centrale (hors revenu élevé),ECA,6044.23352582609,6415.70048202152,6870.22369582625,7557.24101963248,8480.46443667925,9507.74872961832,11305.9581031029,12625.7679618644,14388.083316058,13853.016937253,14858.3800105345,16382.7777402426,17430.4508007462,18784.0226366924,19179.1311085394,18883.4616977215,19196.5711004351,20376.0903729432,21756.3129652092,22383.1092199566,22406.4626323498,24751.4103433161,27702.4535539568
Europe et Asie centrale,ECS,15845.5192502617,16629.1574478399,17388.2442876757,18060.4174261524,19212.0764156783,20269.2436995677,22389.2425180422,23918.8170051745,25428.960828802,24833.8934381209,25957.9006993688,27487.0814788012,28260.2344793651,29519.5430942979,30252.812261485,30667.925637734,32068.5487682371,33803.5495958933,35515.3592701714,37343.7495705548,36142.3057284349,39506.015549255,43858.9779556843
Équateur,ECU,5470,5820,6080,6250,6790,7300,7760,8000,8670,8650,8980,9710,10150,10970,11530,10870,10860,11410,11560,11520,10580,11590,12620
Égypte, République arabe d’,EGY,5610,5850,5900,6070,6350,6700,7300,7900,8460,8670,8850,8940,10260,10350,10060,10700,10450,10790,11360,11860,12290,13050,14600
Zone euro,EMU,25318.5246092382,26418.2932831042,27339.9516337757,27807.5413900739,29025.3519472503,30083.9078962893,32597.4947434096,34384.6936777306,35500.5105689842,34819.4086827702,35859.0500888876,37562.2459767269,37981.8505645681,39215.8233954652,40159.9701118886,41074.4505510325,43688.270556727,45787.113081812,47880.6881971382,50661.1731203653,48352.720825125,52246.0656231292,57106.4397523483
Érythrée,ERI,1460,1580,1590,1510,1500,1560,1570,1610,1440,1460,1480,1610,,,,,,,,,,,
Espagne,ESP,21430,22640,24100,24840,25900,27230,30150,31680,32340,31480,31220,31310,31470,32230,33420,34910,37400,39570,40780,43190,38120,41500,46550
Estonie,EST,9070,9810,11050,12370,13720,15870,18280,20480,21610,19850,20460,23300,24920,26800,28120,28530,30620,32990,35640,38500,38850,42410,45200
Éthiopie,ETH,470,510,510,490,560,630,700,780,860,910,1010,1110,1190,1260,1480,1620,1840,1980,2110,2260,2370,2550,2800
Union européenne,EUU,22027.668894081,23062.2712021362,23991.4122555241,24520.8800367197,25723.456473051,26741.5027989091,29075.3165245116,30870.7567933141,32226.6097408441,31720.145234018,32812.895305778,34455.0616609038,34971.5815471554,36120.1123642849,37095.9704583999,38089.8345709029,40497.946728375,42620.6436248651,44728.6429807669,47569.2270921184,45841.9402146257,49560.6655163996,54585.4443426632
Fragile et les situations de conflit touchées,FCS,,,,,,,,,3949.5786817967,3904.58693559179,4055.82719341968,4054.558580776,4312.49404620811,4492.09852918455,4527.52833566987,4373.24728808622,4429.47413789826,4569.1356123688,4703.73895706714,4813.18124394237,4539.31326586473,4684.09691116499,4896.7125975295
Finlande,FIN,26620,27790,28690,28880,31420,32190,34770,37950,40150,38440,39460,41070,41060,41660,42180,42920,45140,47590,49780,52080,53160,55630,59970
Fidji,FJI,5790,5810,6130,6200,6640,6930,6830,7020,7160,7220,7280,7610,8080,8860,10240,11040,11340,11810,12750,12660,10840,10790,13850
France,FRA,26500,27990,28820,28540,29460,31020,33110,34800,35860,35470,36730,38430,38500,40410,41010,41730,43830,45580,47620,51580,48660,52510,56370
Îles Féroé,FRO,,,,,,,,,,,,,,,,,,,,,,,
Micronésie, États fédérés de,FSM,2450,2540,2590,2680,2710,2880,2980,3050,3020,3190,3240,3380,3420,3450,3420,3960,3940,4000,3690,4100,4020,4040,4280
Gabon,GAB,11430,11880,12190,12110,11580,12670,11890,12330,11870,11920,12230,12820,13170,13040,13960,12940,12680,13560,13630,13870,13900,12860,14870
